date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:32	2369/2369	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:20%20GMT	https://static.wixstatic.com/media/0f001e_06457823f3f34e83869c96351b596c02~mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_06457823f3f34e83869c96351b596c02~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_06457823f3f34e83869c96351b596c02_mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_06457823f3f34e83869c96351b596c02_mv2.22.de	(from https://www.urbanoasispa.com/experience)
14:55:32	2725/2725	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:21%20GMT	https://static.wixstatic.com/media/0f001e_6ccf38bc246e42c19d81b185c43bd8f4~mv2.jpg/v1/fill/w_87,h_130,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_6ccf38bc246e42c19d81b185c43bd8f4~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_6ccf38bc246e42c19d81b185c43bd8f4_mv2.jpg/v1/fill/w_87,h_130,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_6ccf38bc246e42c19d81b185c43bd8f4_mv2.23.de	(from https://www.urbanoasispa.com/experience)
14:55:33	40949/40949	---MCZ	200	added ('OK')	image/png	etag:W/%222702df0e494a20e81b48956ff06c38b2%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	(from https://www.urbanoasispa.com/contact)
14:55:33	2484/2484	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:22%20GMT	https://static.wixstatic.com/media/0f001e_d15c2a4a047844009e44735f1cd77d82~mv2.jpg/v1/fill/w_122,h_81,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_d15c2a4a047844009e44735f1cd77d82~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_d15c2a4a047844009e44735f1cd77d82_mv2.jpg/v1/fill/w_122,h_81,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_d15c2a4a047844009e44735f1cd77d82_mv2.25.de	(from https://www.urbanoasispa.com/treatements)
14:55:33	2937/2937	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:21%20GMT	https://static.wixstatic.com/media/0f001e_fa71be0994034b31b761721d1a903e1e~mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_fa71be0994034b31b761721d1a903e1e~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_fa71be0994034b31b761721d1a903e1e_mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_fa71be0994034b31b761721d1a903e1e_mv2.24.de	(from https://www.urbanoasispa.com/experience)
14:55:33	40557/40557	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:25%20GMT	https://static.wixstatic.com/media/0f001e_4674de5d0a63438fac8c5dba5dab5944~mv2.jpg/v1/fill/w_318,h_642,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/DSCF7912_JPG.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_4674de5d0a63438fac8c5dba5dab5944_mv2.jpg/v1/fill/w_318,h_642,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/DSCF7912_JPG.jpg	(from https://www.urbanoasispa.com/app-landing-page)
14:55:35	3608/3608	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:24%20GMT	https://static.wixstatic.com/media/0f001e_6f0137d0c68a41e4ab31c370f9bf58fc~mv2.jpg/v1/fill/w_116,h_145,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_6f0137d0c68a41e4ab31c370f9bf58fc~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_6f0137d0c68a41e4ab31c370f9bf58fc_mv2.jpg/v1/fill/w_116,h_145,al_c,q_80,usm_0.66_1.00_0.01,blur_2/0f001e_6f0137d0c68a41e4ab31c370f9bf58fc_mv2.29.de	(from https://www.urbanoasispa.com/treatements)
14:55:35	2741/2741	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:22%20GMT	https://static.wixstatic.com/media/0f001e_fbb06e55f85e4c1d8fbffd9cdf00f8ef~mv2.jpg/v1/fill/w_96,h_143,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_fbb06e55f85e4c1d8fbffd9cdf00f8ef~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_fbb06e55f85e4c1d8fbffd9cdf00f8ef_mv2.jpg/v1/fill/w_96,h_143,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_fbb06e55f85e4c1d8fbffd9cdf00f8ef_mv2.26.de	(from https://www.urbanoasispa.com/treatements)
14:55:35	2846/2846	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:23%20GMT	https://static.wixstatic.com/media/0f001e_f9c5c9e7ca884550a301bb0f42426dda~mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_f9c5c9e7ca884550a301bb0f42426dda~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_f9c5c9e7ca884550a301bb0f42426dda_mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_f9c5c9e7ca884550a301bb0f42426dda_mv2.27.de	(from https://www.urbanoasispa.com/treatements)
14:55:35	1929/1929	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:23%20GMT	https://static.wixstatic.com/media/0f001e_16272ede236a4c5fa2c56636b5588dda~mv2.jpg/v1/fill/w_122,h_68,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_16272ede236a4c5fa2c56636b5588dda~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_16272ede236a4c5fa2c56636b5588dda_mv2.jpg/v1/fill/w_122,h_68,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_16272ede236a4c5fa2c56636b5588dda_mv2.28.de	(from https://www.urbanoasispa.com/treatements)
14:55:35	2344/2344	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Feb%202026%2018:46:24%20GMT	https://static.wixstatic.com/media/0f001e_4674de5d0a63438fac8c5dba5dab5944~mv2.jpg/v1/fill/w_77,h_116,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/0f001e_4674de5d0a63438fac8c5dba5dab5944~mv2.jpg	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/static.wixstatic.com/media/0f001e_4674de5d0a63438fac8c5dba5dab5944_mv2.jpg/v1/fill/w_77,h_116,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/0f001e_4674de5d0a63438fac8c5dba5dab5944_mv2.2b.de	(from https://www.urbanoasispa.com/contact)
14:55:35	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Feb%202026%2018:55:35%20GMT	https://www.urbanoasispa.com/api	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/api.2d.delayed	(from https://www.urbanoasispa.com/api/)
14:55:36	2205/2205	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Feb%202026%2018:55:36%20GMT	https://www.urbanoasispa.com/envelope	G:/pagina%20spa%20oasis%20urbano/Pagina%20para%20Spa%20Oasis%20Urbano/www.urbanoasispa.com/envelope.2e.delayed	(from https://www.urbanoasispa.com/envelope/)
